name transform change_limit value lower_bound upper_bound group scale offset dercom
per_f00222 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00223 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00224 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00225 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00226 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00227 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00228 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00229 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00230 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00231 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00232 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00233 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00234 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00235 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00236 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00237 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00238 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00239 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00240 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00241 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00242 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00243 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00244 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00245 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00246 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00247 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00248 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00249 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00250 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00251 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00252 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00253 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00254 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00255 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00256 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00257 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00258 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00259 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00260 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00261 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00262 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00263 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00264 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00265 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00266 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00267 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00268 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00269 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00270 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00271 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00272 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00273 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00274 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00275 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00276 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00277 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00278 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
per_f00279 log factor 6.34e-05 1.0e-05 1.0e-03 per_f 1.0 0.0 1
