name value weight group
f_piez_FP007t63716400.0 417.48517 20 f_piez_FP007
f_piez_FP007t63720000.0 417.47417 20 f_piez_FP007
f_piez_FP007t63723600.0 417.46092 20 f_piez_FP007
f_piez_FP007t63727200.0 417.45308 20 f_piez_FP007
f_piez_FP007t63730800.0 417.442 20 f_piez_FP007
f_piez_FP007t63734400.0 417.43167 20 f_piez_FP007
f_piez_FP007t63738000.0 417.42675 20 f_piez_FP007
f_piez_FP007t63741600.0 417.4095 20 f_piez_FP007
f_piez_FP007t63745200.0 417.39617 20 f_piez_FP007
f_piez_FP007t63748800.0 417.38475 20 f_piez_FP007
f_piez_FP007t63752400.0 417.37142 20 f_piez_FP007
f_piez_FP007t63756000.0 417.3635 20 f_piez_FP007
f_piez_FP007t63759600.0 417.35 20 f_piez_FP007
f_piez_FP007t63763200.0 417.33933 20 f_piez_FP007
f_piez_FP007t63766800.0 417.329 20 f_piez_FP007
f_piez_FP007t63770400.0 417.32183 20 f_piez_FP007
f_piez_FP007t63774000.0 417.31225 20 f_piez_FP007
f_piez_FP007t63777600.0 417.30233 20 f_piez_FP007
f_piez_FP007t63781200.0 417.29758 20 f_piez_FP007
f_piez_FP007t63784800.0 417.28142 20 f_piez_FP007
f_piez_FP007t63788400.0 417.2705 20 f_piez_FP007
f_piez_FP007t63792000.0 417.26442 20 f_piez_FP007
f_piez_FP007t63795600.0 417.25692 20 f_piez_FP007
f_piez_FP007t63799200.0 417.245 20 f_piez_FP007
f_piez_FP007t63802800.0 417.23742 20 f_piez_FP007
f_piez_FP007t63806400.0 417.22575 20 f_piez_FP007
f_piez_FP007t63810000.0 417.21958 20 f_piez_FP007
f_piez_FP007t63813600.0 417.214 20 f_piez_FP007
f_piez_FP007t63817200.0 417.20508 20 f_piez_FP007
f_piez_FP007t63820800.0 417.19983 20 f_piez_FP007
f_piez_FP007t63824400.0 417.188 20 f_piez_FP007
f_piez_FP007t63828000.0 417.18233 20 f_piez_FP007
f_piez_FP007t63831600.0 417.17558 20 f_piez_FP007
f_piez_FP007t63835200.0 417.16542 20 f_piez_FP007
f_piez_FP007t63838800.0 417.15908 20 f_piez_FP007
f_piez_FP007t63842400.0 417.1515 20 f_piez_FP007
f_piez_FP007t63846000.0 417.14283 20 f_piez_FP007
f_piez_FP007t63849600.0 417.13542 20 f_piez_FP007
f_piez_FP007t63853200.0 417.13133 20 f_piez_FP007
f_piez_FP007t63856800.0 417.125 20 f_piez_FP007
f_piez_FP007t63860400.0 417.12392 20 f_piez_FP007
f_piez_FP007t63864000.0 417.11025 20 f_piez_FP007
f_piez_FP007t63867600.0 417.10217 20 f_piez_FP007
f_piez_FP007t63871200.0 417.0985 20 f_piez_FP007
f_piez_FP007t63874800.0 417.091 20 f_piez_FP007
f_piez_FP007t63878400.0 417.08842 20 f_piez_FP007
f_piez_FP007t63882000.0 417.08383 20 f_piez_FP007
f_piez_FP007t63885600.0 417.076 20 f_piez_FP007
f_piez_FP007t63889200.0 417.08075 20 f_piez_FP007
f_piez_FP007t63892800.0 417.07283 20 f_piez_FP007
f_piez_FP007t63896400.0 417.05858 20 f_piez_FP007
f_piez_FP007t63900000.0 417.05575 20 f_piez_FP007
f_piez_FP007t63903600.0 417.054 20 f_piez_FP007
f_piez_FP007t63907200.0 417.04817 20 f_piez_FP007
f_piez_FP007t63910800.0 417.04467 20 f_piez_FP007
f_piez_FP007t63914400.0 417.04158 20 f_piez_FP007
f_piez_FP007t63918000.0 417.03775 20 f_piez_FP007
f_piez_FP007t63921600.0 417.04017 20 f_piez_FP007
