       parameter            eig1            eig2            eig3            eig4            eig5 identifiability     sqrt(ident)
 hkr12c08        6.2989862E-09   6.4330128E-06   2.2672793E-05   1.0880237E-05   2.5822907E-04   2.9822141E-04   1.7269088E-02
 hkr12c09        3.7931142E-08   6.6716011E-06   3.2215839E-05   1.7102840E-05   5.6937294E-04   6.2540115E-04   2.5008022E-02
 hkr12c10        5.1784546E-08   8.3846367E-06   4.4266954E-05   1.1779740E-05   6.8287388E-04   7.4735700E-04   2.7337831E-02
 hkr12c11        2.1058801E-07   1.4600765E-05   5.5530138E-05   3.4390749E-05   8.8328058E-06   1.1356505E-04   1.0656690E-02
 hkr12c12        4.6097175E-07   2.6890661E-05   8.2126717E-05   2.7101025E-04   1.9292531E-03   2.3097417E-03   4.8059772E-02
 hkr12c13        5.2630623E-07   3.1999662E-05   1.0283478E-04   3.3243790E-04   2.3148748E-03   2.7826735E-03   5.2751052E-02
 hkr12c14        2.2660299E-07   9.2947298E-06   1.3260810E-05   9.1023692E-05   9.1613302E-04   1.0299389E-03   3.2092660E-02
 hkr12c15        6.6017299E-09   2.2892329E-07   2.5515974E-07   3.9146818E-07   2.2659526E-06   3.1481055E-06   1.7742901E-03
 hkr12c16        2.0455217E-09   7.2438572E-08   7.5892848E-08   1.2232389E-07   6.9915085E-07   9.7185168E-07   9.8582538E-04
 hkr12c17        1.7895276E-10   6.9443931E-09   4.5365272E-09   1.1290050E-08   4.0989838E-08   6.3939761E-08   2.5286313E-04
 hkr12c18        3.0060310E-10   9.0275840E-09   1.6282851E-08   1.6663953E-08   1.3037932E-07   1.7265431E-07   4.1551692E-04
 hkr12c19        5.1285323E-10   1.5871494E-08   2.6339043E-08   2.8788321E-08   2.1780539E-07   2.8931711E-07   5.3788206E-04
 hkr13c00        6.1763021E-08   2.1021412E-05   1.1265536E-05   1.7258382E-04   8.4040307E-06   2.1333656E-04   1.4606045E-02
 hkr13c01        9.6762146E-08   2.6559660E-05   1.5995035E-05   1.9169074E-04   7.8614437E-06   2.4220364E-04   1.5562893E-02
 hkr13c02        1.2465783E-07   2.9788265E-05   1.5217305E-05   2.2784189E-04   9.2596830E-06   2.8223180E-04   1.6799756E-02
 hkr13c03        1.5608202E-07   3.3202014E-05   1.4458956E-05   2.6711398E-04   1.0772304E-05   3.2570333E-04   1.8047253E-02
 hkr13c08        4.0600764E-10   3.5854614E-06   1.2156987E-05   8.8511102E-06   1.1251918E-04   1.3711314E-04   1.1709532E-02
 hkr13c09        9.3543667E-10   3.6541054E-06   1.0779447E-05   2.9546359E-05   4.7412224E-04   5.1810309E-04   2.2761878E-02
 hkr13c10        9.5557130E-11   4.7558909E-07   5.0847806E-06   8.8759481E-05   1.6934140E-03   1.7877340E-03   4.2281603E-02
 hkr13c11        4.4548646E-08   2.5064339E-06   1.2036001E-05   2.1619294E-06   4.7776601E-04   4.9451492E-04   2.2237691E-02
 hkr13c12        5.5471596E-07   3.0416544E-05   8.0642178E-05   4.1225305E-04   3.9352942E-03   4.4591607E-03   6.6776948E-02
 hkr13c13        8.6045101E-07   3.9049187E-05   1.0171801E-04   7.0641840E-04   5.7825740E-03   6.6306201E-03   8.1428620E-02
 hkr13c14        2.9153219E-07   1.1632411E-05   1.9525408E-05   2.1913737E-04   2.0589517E-03   2.3095385E-03   4.8057658E-02
 hkr13c15        1.1925873E-08   4.0374578E-07   4.9296585E-07   6.9877507E-07   4.3165044E-06   5.9239169E-06   2.4339098E-03
 hkr13c16        3.7566461E-09   1.2914786E-07   1.4802064E-07   2.2192688E-07   1.2996905E-06   1.8025425E-06   1.3425880E-03
 hkr13c17        1.6227427E-12   2.2908363E-11   3.3695490E-10   6.0002010E-11   3.2710961E-09   3.6925841E-09   6.0766636E-05
 hkr13c18        7.8146060E-10   2.4633503E-08   3.8801861E-08   4.4206532E-08   3.2754073E-07   4.3596409E-07   6.6027577E-04
 hkr13c19        1.4984876E-09   4.6746527E-08   7.3734525E-08   8.4689179E-08   5.9379897E-07   8.0046769E-07   8.9468860E-04
 hkr14c00        2.1010978E-07   6.6218150E-05   4.1139096E-05   4.1924402E-04   2.7008601E-05   5.5381998E-04   2.3533380E-02
 hkr14c01        2.5038049E-07   7.1262463E-05   3.9885965E-05   4.7195993E-04   2.9551467E-05   6.1291021E-04   2.4757023E-02
 hkr14c02        3.8111530E-07   9.9556209E-05   2.9290787E-05   6.3068466E-04   3.6178871E-05   7.9609164E-04   2.8215096E-02
 hkr14c03        3.5101845E-07   1.0392720E-04   3.4495911E-05   6.5799778E-04   3.7768428E-05   8.3454034E-04   2.8888412E-02
 hkr14c08        5.5125710E-09   1.6860498E-06   6.2098548E-06   2.4729069E-06   3.1477812E-05   4.1852136E-05   6.4693227E-03
 hkr14c09        4.0256868E-09   2.3991639E-06   8.5560958E-06   2.5241856E-05   3.2934240E-04   3.6554354E-04   1.9119193E-02
 hkr14c10        5.6200794E-08   1.6482812E-06   9.7260920E-07   2.6292216E-04   4.3977144E-03   4.6633137E-03   6.8288459E-02
 hkr14c11        2.8804804E-07   1.5842940E-05   4.5652365E-05   2.1507839E-04   1.7802092E-03   2.0570709E-03   4.5354944E-02
 hkr14c12        1.3618443E-06   7.5877271E-05   2.0059177E-04   1.9577132E-03   2.2702076E-02   2.4937620E-02   0.1579165    
 hkr14c13        1.2191346E-06   5.1460172E-05   1.1385668E-04   1.2540176E-03   1.2734672E-02   1.4155226E-02   0.1189757    
