obsnme obsval
hds_00_024_011_000 36.97903
hds_00_024_012_000 36.637978
hds_00_024_013_000 36.282104
hds_00_024_014_000 35.910847
hds_00_024_015_000 35.52044
hds_00_024_016_000 35.666954
hds_00_024_017_000 35.78057
hds_00_024_018_000 35.85889
hds_00_024_019_000 35.899326
hds_00_025_000_000 40.749268
hds_00_025_001_000 40.65644
hds_00_025_002_000 40.469383
hds_00_025_003_000 40.164436
hds_00_025_004_000 39.77919
hds_00_025_005_000 39.350883
hds_00_025_006_000 38.906616
hds_00_025_007_000 38.476902
hds_00_025_008_000 38.07206
hds_00_025_009_000 37.67828
hds_00_025_010_000 37.30357
hds_00_025_011_000 36.983692
hds_00_025_012_000 36.65306
hds_00_025_013_000 36.30293
hds_00_025_014_000 35.930782
hds_00_025_015_000 35.53359
hds_00_025_016_000 35.679123
hds_00_025_017_000 35.791332
hds_00_025_018_000 35.868904
hds_00_025_019_000 35.908783
hds_00_026_000_000 40.44591
hds_00_026_001_000 40.355793
hds_00_026_002_000 40.173973
hds_00_026_003_000 39.907715
hds_00_026_004_000 39.569946
hds_00_026_005_000 39.20067
hds_00_026_006_000 38.808136
hds_00_026_007_000 38.417515
hds_00_026_008_000 38.033096
hds_00_026_009_000 37.639202
hds_00_026_010_000 37.207558
hds_00_026_011_000 36.95647
hds_00_026_012_000 36.645893
hds_00_026_013_000 36.30396
hds_00_026_014_000 35.93551
hds_00_026_015_000 35.53754
hds_00_026_016_000 35.68419
hds_00_026_017_000 35.796707
hds_00_026_018_000 35.87257
hds_00_026_019_000 35.91185
hds_00_027_000_000 40.179234
hds_00_027_001_000 40.084778
hds_00_027_002_000 39.91453
hds_00_027_003_000 39.66839
hds_00_027_004_000 39.36454
hds_00_027_005_000 39.030018
hds_00_027_006_000 38.67058
hds_00_027_007_000 38.316654
hds_00_027_008_000 37.965694
hds_00_027_009_000 37.608025
hds_00_027_010_000 37.253162
hds_00_027_011_000 36.94632
hds_00_027_012_000 36.628376
hds_00_027_013_000 36.289715
hds_00_027_014_000 35.927704
hds_00_027_015_000 35.535557
hds_00_027_016_000 35.68234
hds_00_027_017_000 35.794777
hds_00_027_018_000 35.870426
hds_00_027_019_000 35.909397
hds_00_028_000_000 39.932446
hds_00_028_001_000 39.837486
hds_00_028_002_000 39.674267
hds_00_028_003_000 39.437897
hds_00_028_004_000 39.1576
hds_00_028_005_000 38.842518
hds_00_028_006_000 38.496456
hds_00_028_007_000 38.185837
hds_00_028_008_000 37.86804
hds_00_028_009_000 37.540737
hds_00_028_010_000 37.21715
hds_00_028_011_000 36.9072
hds_00_028_012_000 36.590088
hds_00_028_013_000 36.258427
hds_00_028_014_000 35.907074
hds_00_028_015_000 35.526157
hds_00_028_016_000 35.674053
hds_00_028_017_000 35.786465
hds_00_028_018_000 35.862217
hds_00_028_019_000 35.901554
hds_00_029_000_000 39.713966
hds_00_029_001_000 39.61938
hds_00_029_002_000 39.45301
hds_00_029_003_000 39.230614
hds_00_029_004_000 38.960915
hds_00_029_005_000 38.64755
hds_00_029_006_000 38.257854
hds_00_029_007_000 38.025265
hds_00_029_008_000 37.7383
hds_00_029_009_000 37.43817
hds_00_029_010_000 37.13379
hds_00_029_011_000 36.830486
hds_00_029_012_000 36.52253
hds_00_029_013_000 36.205063
hds_00_029_014_000 35.871723
hds_00_029_015_000 35.51226
hds_00_029_016_000 35.65922
hds_00_029_017_000 35.771797
hds_00_029_018_000 35.848408
hds_00_029_019_000 35.88793
hds_00_030_000_000 39.544754
hds_00_030_001_000 39.43515
hds_00_030_002_000 39.262035
hds_00_030_003_000 39.02756
hds_00_030_004_000 38.765514
hds_00_030_005_000 38.481766
hds_00_030_006_000 38.16109
hds_00_030_007_000 37.876266
hds_00_030_008_000 37.59443
hds_00_030_009_000 37.30495
hds_00_030_010_000 37.012207
hds_00_030_011_000 36.71847
hds_00_030_012_000 36.42316
hds_00_030_013_000 36.126457
hds_00_030_014_000 35.819866
hds_00_030_015_000 35.489933
hds_00_030_016_000 35.638218
hds_00_030_017_000 35.751816
hds_00_030_018_000 35.829327
hds_00_030_019_000 35.869255
hds_00_031_000_000 39.435116
hds_00_031_001_000 39.26705
hds_00_031_002_000 39.05955
hds_00_031_003_000 38.811516
hds_00_031_004_000 38.564266
hds_00_031_005_000 38.2843
hds_00_031_006_000 37.987545
hds_00_031_007_000 37.706127
hds_00_031_008_000 37.42831
hds_00_031_009_000 37.14126
hds_00_031_010_000 36.852795
hds_00_031_011_000 36.5651
hds_00_031_012_000 36.28219
hds_00_031_013_000 36.016495
hds_00_031_014_000 35.7493
hds_00_031_015_000 35.459805
hds_00_031_016_000 35.610744
hds_00_031_017_000 35.726467
hds_00_031_018_000 35.805405
hds_00_031_019_000 35.846558
hds_00_032_001_000 39.089153
hds_00_032_002_000 38.8494
hds_00_032_003_000 38.591026
hds_00_032_004_000 38.330894
hds_00_032_005_000 38.054806
hds_00_032_006_000 37.772957
hds_00_032_007_000 37.502773
hds_00_032_008_000 37.22863
hds_00_032_009_000 36.94579
hds_00_032_010_000 36.657665
hds_00_032_011_000 36.36395
hds_00_032_012_000 36.081673
hds_00_032_013_000 35.86746
hds_00_032_014_000 35.65762
hds_00_032_015_000 35.42259
hds_00_032_016_000 35.577465
hds_00_032_017_000 35.69627
hds_00_032_018_000 35.77781
hds_00_032_019_000 35.82061
hds_00_033_002_000 38.61109
hds_00_033_003_000 38.33712
hds_00_033_004_000 38.056656
hds_00_033_005_000 37.78421
hds_00_033_006_000 37.523067
hds_00_033_007_000 37.26904
hds_00_033_008_000 37.00029
hds_00_033_009_000 36.723423
hds_00_033_010_000 36.432858
hds_00_033_011_000 36.109127
hds_00_033_012_000 35.7743
hds_00_033_013_000 35.67092
hds_00_033_014_000 35.549126
hds_00_033_015_000 35.379715
hds_00_033_016_000 35.540215
hds_00_033_017_000 35.66166
hds_00_033_018_000 35.74633
hds_00_033_019_000 35.794415
hds_00_034_003_000 38.056137
hds_00_034_004_000 37.72908
hds_00_034_005_000 37.474087
hds_00_034_006_000 37.236206
hds_00_034_007_000 36.99077
hds_00_034_008_000 36.740627
hds_00_034_009_000 36.486576
hds_00_034_010_000 36.19938
hds_00_034_011_000 35.823845
hds_00_034_012_000 35.193344
hds_00_034_013_000 35.451008
hds_00_034_014_000 35.445965
hds_00_034_015_000 35.33878
hds_00_034_016_000 35.501034
hds_00_034_017_000 35.622044
hds_00_034_018_000 35.70765
hds_00_034_019_000 35.773056
hds_00_035_004_000 37.307095
hds_00_035_005_000 37.10844
hds_00_035_006_000 36.890358
hds_00_035_007_000 36.66716
hds_00_035_008_000 36.458694
hds_00_035_009_000 36.246223
hds_00_035_010_000 36.014355
hds_00_035_011_000 35.754086
hds_00_035_012_000 35.485683
hds_00_035_013_000 35.451416
hds_00_035_014_000 35.402832
hds_00_035_015_000 35.310574
hds_00_035_016_000 35.462738
hds_00_035_017_000 35.575764
hds_00_035_018_000 35.6455
hds_00_036_004_000 37.03348
hds_00_036_005_000 36.70053
hds_00_036_006_000 36.486496
hds_00_036_007_000 36.306553
hds_00_036_008_000 36.15053
hds_00_036_009_000 35.989017
hds_00_036_010_000 35.821194
hds_00_036_011_000 35.651993
hds_00_036_012_000 35.50148
hds_00_036_013_000 35.42397
hds_00_036_014_000 35.36157
hds_00_036_015_000 35.28349
hds_00_036_016_000 35.422916
hds_00_036_017_000 35.53104
hds_00_036_018_000 35.61007
hds_00_037_005_000 36.10443
hds_00_037_006_000 36.013912
hds_00_037_007_000 35.91044
hds_00_037_008_000 35.808037
hds_00_037_009_000 35.69956
hds_00_037_010_000 35.591797
hds_00_037_011_000 35.489
hds_00_037_012_000 35.399868
hds_00_037_013_000 35.33944
hds_00_037_014_000 35.294724
hds_00_037_015_000 35.248863
hds_00_037_016_000 35.37473
hds_00_037_017_000 35.47369
hds_00_038_005_000 35.560444
hds_00_038_006_000 35.52411
hds_00_038_007_000 35.476494
hds_00_038_008_000 35.42436
hds_00_038_009_000 35.37056
hds_00_038_010_000 35.31795
hds_00_038_011_000 35.268974
hds_00_038_012_000 35.2274
hds_00_038_013_000 35.19864
hds_00_038_014_000 35.1864
hds_00_038_015_000 35.20981
hds_00_038_016_000 35.313313
hds_00_039_005_000 35.0
hds_00_039_006_000 35.0
hds_00_039_007_000 35.0
hds_00_039_008_000 35.0
hds_00_039_009_000 35.0
hds_00_039_010_000 35.0
hds_00_039_011_000 35.0
hds_00_039_012_000 35.0
hds_00_039_013_000 35.0
hds_00_039_014_000 35.0
