,percent_reduce,post,prior
hkr33c02,0.0009297040570935274,79632.43744495147,79633.17779783625
hkr15c00,0.0009324410263460211,79633.25778034842,79634.00032043832
hkr15c01,0.0009336516993161703,79633.23204975987,79633.97555372586
wf5_1,0.0009285557944754889,79627.30595154382,79628.04534237288
hkr15c08,0.0009284561191846521,79633.29468965478,79634.03405671693
hkr15c09,0.0009284712063743323,79633.29507925888,79634.0344583393
hkr00c13,0.000925872923918567,79633.26301079114,79634.00032043834
hkr00c12,0.0009252110999489386,79633.2591200229,79633.99590259233
hkr00c11,0.0009251696395010619,79633.26772090403,79634.0044705361
hkr00c10,0.0009231705031248352,79633.2458851414,79633.98104256485
hkr00c17,0.0009284859643580482,79633.29466588788,79634.03405671695
hkr00c16,0.0009284859596936414,79633.29506751023,79634.03445833932
hkr00c15,0.0009284859581144745,79633.29520138436,79634.03459221343
hkr00c14,0.0009277401257467722,79633.28240803281,79634.02120480128
hkr00c19,0.0009284859581144745,79633.29520138436,79634.03459221343
hkr00c18,0.0009284859643580482,79633.29466588788,79634.03405671695
wf6_2,0.0009285576928087467,79633.29514425911,79634.03459221341
wf6_1,0.0009308965102361902,79427.08324135812,79427.82263218716
hkr34c03,0.0009307711143151012,79630.32126991602,79631.06245284335
hkr07c00,0.0009278103369472558,79633.2656180109,79634.0044705361
wf1_1,0.0009436035331762563,78357.46965119473,78358.20904202378
wf4_1,0.0009286099656669,79622.66078700175,79623.4001778308
wf4_2,0.0009285199637221737,79633.29517430431,79634.03459221341
hkr27c18,0.0009284859830704969,79633.29305939842,79634.03245022747
hkr18c08,0.0009284859721625157,79633.29399651727,79634.03338734634
hkr27c14,0.000924415548640421,79630.82232995525,79631.55845646324
hkr27c15,0.0009284859643580484,79633.29466588786,79634.03405671693
hkr27c16,0.0009284859721442424,79633.29399651727,79634.03338734632
hkr27c17,0.0009284859721442424,79633.29399651727,79634.03338734632
hkr27c10,0.0009184207285814978,79629.52478823153,79630.25612901004
hkr18c00,0.0009360807416360974,79633.19865529289,79633.94409330735
hkr27c12,0.0009185853210506855,79626.76459975804,79627.49604624824
hkr27c13,0.0009171239020856399,79624.66730584158,79625.39756939482
hkr19c08,0.0009284861828831839,79633.27592351087,79634.01531433994
hkr36c12,0.0009197078458531891,79581.34224075422,79582.0741633342
rcond05,0.0009284859971185444,79633.29185453085,79634.0312453599
hkr36c10,0.0009259092612828512,79629.24411794,79629.98141931272
hkr36c11,0.0009229980976777132,79614.06993640274,79614.80477953632
