name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KR03C09,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C10,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C11,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C12,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C13,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C14,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C15,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C16,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C17,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C18,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C19,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C20,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C21,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C22,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C23,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C24,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C25,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C26,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C27,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C28,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR03C29,2.30103,0.5,1.30103,3.30103,2.30103,0.499999,1.30103,3.30103
KR03C30,2.30103,0.5,1.30103,3.30103,2.30103,0.499999,1.30103,3.30103
KR03C31,2.30103,0.5,1.30103,3.30103,2.30103,0.499998,1.30103,3.30103
KR03C32,2.30103,0.5,1.30103,3.30103,2.30103,0.499995,1.30104,3.30102
KR03C33,2.30103,0.5,1.30103,3.30103,2.30103,0.499989,1.30105,3.30101
KR03C34,2.30103,0.5,1.30103,3.30103,2.30103,0.499963,1.3011,3.30096
KR03C35,2.30103,0.5,1.30103,3.30103,2.30103,0.499961,1.30111,3.30095
KR03C36,2.30103,0.5,1.30103,3.30103,2.30103,0.499884,1.30126,3.3008
KR03C37,2.30103,0.5,1.30103,3.30103,2.30103,0.499862,1.30131,3.30075
KR03C38,2.30103,0.5,1.30103,3.30103,2.30103,0.499897,1.30124,3.30082
KR03C39,2.30103,0.5,1.30103,3.30103,2.30103,0.499871,1.30129,3.30077
KR03C40,2.30103,0.5,1.30103,3.30103,2.30103,0.49988,1.30127,3.30079
KR03C41,2.30103,0.5,1.30103,3.30103,2.30103,0.499852,1.30133,3.30073
KR03C42,2.30103,0.5,1.30103,3.30103,2.30103,0.499835,1.30136,3.3007
KR03C43,2.30103,0.5,1.30103,3.30103,2.30103,0.499868,1.30129,3.30077
KR03C44,2.30103,0.5,1.30103,3.30103,2.30103,0.49984,1.30135,3.30071
KR03C45,2.30103,0.5,1.30103,3.30103,2.30103,0.499852,1.30133,3.30073
KR03C46,2.30103,0.5,1.30103,3.30103,2.30103,0.499838,1.30135,3.30071
KR03C47,2.30103,0.5,1.30103,3.30103,2.30103,0.499824,1.30138,3.30068
KR03C48,2.30103,0.5,1.30103,3.30103,2.30103,0.499861,1.30131,3.30075
KR03C49,2.30103,0.5,1.30103,3.30103,2.30103,0.49983,1.30137,3.30069
KR03C50,2.30103,0.5,1.30103,3.30103,2.30103,0.499839,1.30135,3.30071
KR03C51,2.30103,0.5,1.30103,3.30103,2.30103,0.499832,1.30137,3.30069
KR03C52,2.30103,0.5,1.30103,3.30103,2.30103,0.499793,1.30144,3.30062
KR03C53,2.30103,0.5,1.30103,3.30103,2.30103,0.49979,1.30145,3.30061
KR03C54,2.30103,0.5,1.30103,3.30103,2.30103,0.499631,1.30177,3.30029
KR03C55,2.30103,0.5,1.30103,3.30103,2.30103,0.499436,1.30216,3.2999
KR03C56,2.30103,0.5,1.30103,3.30103,2.30103,0.49918,1.30267,3.29939
KR03C57,2.30103,0.5,1.30103,3.30103,2.30103,0.498761,1.30351,3.29855
KR03C58,2.30103,0.5,1.30103,3.30103,2.30103,0.498476,1.30408,3.29798
KR03C59,2.30103,0.5,1.30103,3.30103,2.30103,0.498245,1.30454,3.29752
KR03C60,2.30103,0.5,1.30103,3.30103,2.30103,0.499072,1.30289,3.29917
KR04C01,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C02,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C03,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C04,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C05,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C06,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C07,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C08,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C09,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C10,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C11,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C12,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C13,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
