       parameter            eig1            eig2            eig3            eig4            eig5 identifiability     sqrt(ident)
 kr09c15         1.6958860E-12   5.5336633E-10   8.5016886E-10   9.6737956E-09   7.0476180E-10   1.1783789E-08   1.0855316E-04
 kr09c16         1.2390252E-19   3.2356431E-14   5.6794350E-12   8.2679749E-11   1.4062219E-10   2.2901373E-10   1.5133200E-05
 kr09c17         1.2390252E-19   3.2356431E-14   5.6794350E-12   8.2679749E-11   1.4062219E-10   2.2901373E-10   1.5133200E-05
 kr09c18         2.5899725E-14   9.8636646E-12   1.6591814E-11   8.2919446E-11   1.3590862E-10   2.4530945E-10   1.5662358E-05
 kr09c19         1.6910741E-12   3.0424517E-10   8.7534639E-10   9.0567645E-09   1.2170970E-09   1.1455144E-08   1.0702871E-04
 kr09c20         2.5313572E-12   4.2795781E-10   3.6204281E-10   2.2825202E-09   2.1945175E-09   5.2695697E-09   7.2591802E-05
 kr09c21         8.3711028E-12   1.9546020E-09   2.3218017E-09   2.1354323E-08   5.3865365E-09   3.1025634E-08   1.7614095E-04
 kr09c22         1.5520404E-11   3.7408909E-09   3.8482000E-09   1.1190362E-08   6.6901693E-09   2.5485142E-08   1.5964067E-04
 kr09c23         7.4757771E-12   1.7900764E-09   4.7598034E-09   1.5649071E-08   1.9038454E-08   4.1244880E-08   2.0308835E-04
 kr09c24         1.2812778E-11   3.5822553E-09   9.3471313E-09   7.5798599E-08   3.1581081E-08   1.2032188E-07   3.4687444E-04
 kr09c25         6.6189623E-11   1.8835043E-08   1.6998022E-08   1.9093820E-07   2.7053348E-08   2.5389080E-07   5.0387578E-04
 kr09c26         1.5542769E-10   1.8237542E-08   5.4388900E-08   4.0572194E-07   3.8272098E-08   5.1677591E-07   7.1887127E-04
 kr09c27         2.3967764E-10   3.4497603E-08   8.0788987E-08   6.9939993E-07   6.4332303E-08   8.7925850E-07   9.3768785E-04
 kr09c28         3.8820554E-10   7.0210890E-08   1.5196946E-07   1.7010729E-06   1.7262773E-07   2.0962692E-06   1.4478498E-03
 kr09c29         7.4857548E-10   1.4936608E-07   2.6257354E-07   2.9409785E-06   3.7434332E-07   3.7280100E-06   1.9308055E-03
 kr09c30         1.3045235E-09   2.9287218E-07   4.4711424E-07   4.9804888E-06   7.8490303E-07   6.5066828E-06   2.5508200E-03
 kr09c31         2.6063431E-09   6.1100918E-07   6.6907482E-07   8.9375861E-06   1.4427945E-06   1.1663071E-05   3.4151239E-03
 kr09c32         4.8971033E-09   1.0646912E-06   1.4771736E-06   1.7573370E-05   2.7364358E-06   2.2856567E-05   4.7808543E-03
 kr09c33         7.1588395E-09   1.3967085E-06   1.8668199E-06   2.2449865E-05   4.1427132E-06   2.9863265E-05   5.4647292E-03
 kr09c34         3.7621616E-09   5.2498292E-07   4.6347248E-07   7.3550621E-06   3.8490098E-06   1.2196290E-05   3.4923186E-03
 kr09c35         4.4097223E-08   1.8584274E-05   3.1517233E-05   3.3428832E-04   9.8824229E-06   3.9431635E-04   1.9857400E-02
 kr09c36         6.2488066E-07   2.2594321E-04   3.5904792E-04   3.9725629E-03   2.1151313E-04   4.7696920E-03   6.9062957E-02
 kr09c37         1.1011988E-06   3.9858272E-04   6.3863842E-04   7.1004629E-03   3.9349043E-04   8.5322756E-03   9.2370318E-02
 kr09c38         1.1251827E-06   4.2200613E-04   6.8265010E-04   7.5260070E-03   3.9099721E-04   9.0227857E-03   9.4988345E-02
 kr09c39         1.1256030E-06   4.3988933E-04   6.8256038E-04   7.3172525E-03   3.3231923E-04   8.7731470E-03   9.3665079E-02
 kr09c40         1.5519581E-06   5.9633516E-04   6.3744981E-04   6.0645917E-03   1.4654153E-04   7.4464701E-03   8.6292932E-02
 kr09c41         2.8336077E-06   1.0368451E-03   5.6716947E-04   3.9549509E-03   7.5668542E-08   5.5618748E-03   7.4577978E-02
 kr09c42         3.4193212E-06   1.2912233E-03   5.6415494E-04   3.0956802E-03   2.5996083E-05   4.9804738E-03   7.0572472E-02
 kr09c43         3.2722576E-06   1.3566111E-03   6.1677404E-04   2.9036353E-03   2.4753571E-05   4.9050463E-03   7.0036036E-02
 kr09c44         3.0496709E-06   1.4315815E-03   6.4687561E-04   2.4473642E-03   1.0199237E-05   4.5390702E-03   6.7372622E-02
 kr09c45         3.2834233E-06   1.6731864E-03   4.0054993E-04   3.9599245E-04   2.9011705E-06   2.4759134E-03   4.9758551E-02
 kr09c46         4.0857337E-06   2.1604740E-03   6.5484406E-05   1.5908393E-03   1.4399642E-04   3.9648799E-03   6.2967292E-02
 kr09c47         3.9427938E-06   2.5469411E-03   3.3351589E-05   5.0324972E-03   5.3428547E-04   8.1510182E-03   9.0282989E-02
 kr09c48         3.0594989E-06   2.9001802E-03   1.2318282E-04   6.4390496E-03   1.3665003E-03   1.0831972E-02   0.1040768    
 kr09c49         2.0680709E-06   3.3759068E-03   2.4740201E-04   7.9828260E-03   2.9750275E-03   1.4583230E-02   0.1207610    
 kr09c50         1.2683184E-06   4.0175602E-03   1.4009367E-04   1.2235975E-02   6.3717199E-03   2.2766617E-02   0.1508861    
 kr09c51         7.2228062E-07   4.7058036E-03   2.2857325E-10   2.0175567E-02   1.2173297E-02   3.7055390E-02   0.1924978    
 kr09c52         3.5324471E-07   4.6437665E-03   3.3520240E-07   2.2615376E-02   1.5134909E-02   4.2394740E-02   0.2058998    
 kr09c53         1.8010078E-06   1.8976280E-03   4.8192269E-04   1.8546316E-02   1.0837448E-02   3.1765116E-02   0.1782277    
 kr09c54         1.4516053E-05   3.2806887E-04   3.9575061E-03   9.9133630E-03   4.6867651E-03   1.8900219E-02   0.1374781    
 kr09c55         3.0300663E-05   4.9388793E-03   1.0241625E-02   4.1810529E-03   1.1453372E-03   2.0537195E-02   0.1433080    
 kr09c56         9.1604739E-06   1.7608303E-03   8.9988608E-03   3.8199637E-03   1.4033996E-03   1.5992215E-02   0.1264603    
 kr09c57         6.3309031E-07   3.1105167E-04   6.2120740E-03   2.1776237E-03   3.2044487E-03   1.1905831E-02   0.1091138    
 kr09c58         2.0393350E-06   2.2181577E-03   1.0117238E-02   3.0888937E-04   9.5705929E-04   1.3603383E-02   0.1166335    
 kr09c59         5.1704863E-06   5.3624458E-03   1.5127881E-02   5.7966812E-07   1.7225177E-05   2.0513302E-02   0.1432247    
 kr09c60         3.4644601E-06   3.5878966E-03   9.1470494E-03   1.1307539E-05   2.4310831E-05   1.2774029E-02   0.1130222    
 kr10c01          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr10c02          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr10c03          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
 kr10c04          0.000000        0.000000        0.000000        0.000000        0.000000        0.000000        0.000000    
