name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
HKR06C05,0.774335,0.5,-0.225665,1.77434,0.774335,0.495561,-0.216787,1.76546
HKR06C06,0.774335,0.5,-0.225665,1.77434,0.774335,0.495719,-0.217103,1.76577
HKR06C07,0.774335,0.5,-0.225665,1.77434,0.774335,0.496804,-0.219272,1.76794
HKR06C08,0.774335,0.5,-0.225665,1.77434,0.774335,0.497777,-0.221218,1.76989
HKR06C09,0.774335,0.5,-0.225665,1.77434,0.774335,0.492976,-0.211617,1.76029
HKR06C10,0.774335,0.5,-0.225665,1.77434,0.774335,0.494141,-0.213947,1.76262
HKR06C11,0.774335,0.5,-0.225665,1.77434,0.774335,0.496329,-0.218322,1.76699
HKR06C12,0.774335,0.5,-0.225665,1.77434,0.774335,0.496754,-0.219173,1.76784
HKR06C13,0.774335,0.5,-0.225665,1.77434,0.774335,0.496745,-0.219154,1.76782
HKR06C14,0.774335,0.5,-0.225665,1.77434,0.774335,0.499179,-0.224022,1.77269
HKR06C15,0.774335,0.5,-0.225665,1.77434,0.774335,0.496704,-0.219073,1.76774
HKR06C16,0.774335,0.5,-0.225665,1.77434,0.774335,0.491754,-0.209173,1.75784
HKR06C17,0.774335,0.5,-0.225665,1.77434,0.774335,0.495887,-0.217439,1.76611
HKR06C18,0.774335,0.5,-0.225665,1.77434,0.774335,0.498348,-0.22236,1.77103
HKR06C19,0.774335,0.5,-0.225665,1.77434,0.774335,0.499062,-0.223788,1.77246
HKR07C00,0.774335,0.5,-0.225665,1.77434,0.774335,0.499752,-0.225168,1.77384
HKR07C01,0.774335,0.5,-0.225665,1.77434,0.774335,0.499159,-0.223982,1.77265
HKR07C02,0.774335,0.5,-0.225665,1.77434,0.774335,0.496633,-0.218931,1.7676
HKR07C03,0.774335,0.5,-0.225665,1.77434,0.774335,0.479327,-0.184318,1.73299
HKR07C04,0.774335,0.5,-0.225665,1.77434,0.774335,0.489624,-0.204912,1.75358
HKR07C05,0.774335,0.5,-0.225665,1.77434,0.774335,0.493173,-0.21201,1.76068
HKR07C06,0.774335,0.5,-0.225665,1.77434,0.774335,0.493135,-0.211934,1.76061
HKR07C07,0.774335,0.5,-0.225665,1.77434,0.774335,0.491442,-0.208548,1.75722
HKR07C08,0.774335,0.5,-0.225665,1.77434,0.774335,0.495937,-0.217538,1.76621
HKR07C09,0.774335,0.5,-0.225665,1.77434,0.774335,0.49649,-0.218644,1.76731
HKR07C10,0.774335,0.5,-0.225665,1.77434,0.774335,0.497366,-0.220397,1.76907
HKR07C11,0.774335,0.5,-0.225665,1.77434,0.774335,0.497976,-0.221617,1.77029
HKR07C12,0.774335,0.5,-0.225665,1.77434,0.774335,0.498144,-0.221953,1.77062
HKR07C13,0.774335,0.5,-0.225665,1.77434,0.774335,0.49795,-0.221565,1.77024
HKR07C14,0.774335,0.5,-0.225665,1.77434,0.774335,0.497914,-0.221494,1.77016
HKR07C15,0.774335,0.5,-0.225665,1.77434,0.774335,0.497471,-0.220606,1.76928
HKR07C16,0.774335,0.5,-0.225665,1.77434,0.774335,0.49181,-0.209284,1.75796
HKR07C17,0.774335,0.5,-0.225665,1.77434,0.774335,0.496743,-0.21915,1.76782
HKR07C18,0.774335,0.5,-0.225665,1.77434,0.774335,0.498846,-0.223357,1.77203
HKR07C19,0.774335,0.5,-0.225665,1.77434,0.774335,0.499391,-0.224446,1.77312
HKR08C00,0.774335,0.5,-0.225665,1.77434,0.774335,0.499779,-0.225223,1.77389
HKR08C01,0.774335,0.5,-0.225665,1.77434,0.774335,0.499063,-0.223792,1.77246
HKR08C02,0.774335,0.5,-0.225665,1.77434,0.774335,0.497111,-0.219886,1.76856
HKR08C03,0.774335,0.5,-0.225665,1.77434,0.774335,0.492388,-0.21044,1.75911
HKR08C07,0.774335,0.5,-0.225665,1.77434,0.774335,0.497907,-0.221478,1.77015
HKR08C08,0.774335,0.5,-0.225665,1.77434,0.774335,0.493888,-0.21344,1.76211
HKR08C09,0.774335,0.5,-0.225665,1.77434,0.774335,0.497728,-0.22112,1.76979
HKR08C10,0.774335,0.5,-0.225665,1.77434,0.774335,0.498382,-0.222428,1.7711
