name,x,y,z,mean_kh,sd_kh,major,transverse,normal,anisotropy,bearing,dip,layer
201_1,1681395.075846033,5411367.899280492,0.5,1708.538,0.5,3000,300,5,9.999999999,136,1,1
201_2,1678983.756485376,5412265.873680885,2,49.12827,0.5,3000,300,5,9.999999999,80,1,2
201_3,1681395.075846033,5411367.899280492,2,141.7582,0.5,3000,300,5,9.999999999,136,1,2
201_4,1678983.756485376,5412265.873680885,5,74.92874,0.5,3000,300,5,9.999999999,80,1,3
201_5,1681395.075846033,5411367.899280492,5,128.7014,0.5,3000,300,5,9.999999999,136,1,3
201_6,1678983.756485376,5412265.873680885,10,56.92324,0.5,3000,300,5,9.999999999,80,1,4
201_7,1681395.075846033,5411367.899280492,10.00000001,154.8273,0.5,3000,300,5,9.999999999,136,1,4
201_8,1681395.075846033,5411367.899280492,17.00000001,51.66063,0.5,3000,300,5,9.999999999,136,1,5
201_9,1681395.075846033,5411367.899280492,26.00000001,181.9304,0.5,3000,300,5,9.999999999,136,1,6
198_0,1677989.5907369237,5413437.789994807,0.5,0.1129411,0.5,900,300,5,3,90,0.01,1
198_1,1681409.4659152287,5414023.385059585,0.5,3.566706,0.5,900,300,5,3,90,0.01,1
198_2,1677989.5907369237,5413437.789994807,2,0.7164958,0.5,900,300,5,3,90,0.01,2
198_3,1681409.4659152287,5414023.385059585,2,2.332138,0.5,900,300,5,3,90,0.01,2
198_4,1677989.5907369237,5413437.789994807,5,8.049206,0.5,900,300,5,3,90,0.01,3
198_5,1681409.4659152287,5414023.385059585,5,0.6973331,0.5,900,300,5,3,90,0.01,3
198_6,1677989.5907369237,5413437.789994807,10,0.5772107,0.5,900,300,5,3,90,0.01,4
198_7,1681409.4659152287,5414023.385059585,10,0.5345489,0.5,900,300,5,3,90,0.01,4
198_8,1679938.8593249405,5413977.32,16.999999995000003,0.4410494,0.5,900,300,5,3,150,0.01,5
198_9,1677989.5907369237,5413437.789994807,17,0.739108,0.5,900,300,5,3,90,0.01,5
198_10,1681409.4659152287,5414023.385059585,17,0.750283,0.5,900,300,5,3,90,0.01,5
198_11,1679938.8593249405,5413977.32,25.999999990000003,1.416087,0.5,900,300,5,3,150,0.01,6
198_12,1677989.5907369237,5413437.789994807,26,0.5390183,0.5,900,300,5,3,90,0.01,6
198_13,1681409.4659152287,5414023.385059585,26.000000000000007,0.7679672,0.5,900,300,5,3,90,0.01,6
198_14,1679938.8593249405,5413977.32,35.99999999,2.277327,0.5,900,300,5,3,150,0.01,7
198_15,1677989.5907369237,5413437.789994807,36,2.63489,0.5,900,300,5,3,90,0.01,7
198_16,1679938.8593249405,5413977.32,50.99999999,0.3221785,0.5,900,300,5,3,150,0.01,8
198_17,1677989.5907369237,5413437.789994807,51,0.094676639,0.5,900,300,5,3,90,0.01,8
198_18,1679938.8593249405,5413977.32,70.99999999,0.629464,0.5,900,300,5,3,150,0.01,9
198_19,1677989.5907369237,5413437.789994807,71,1.218704,0.5,900,300,5,3,90,0.01,9
198_20,1679938.8593249405,5413977.32,90.99999999,0.7247975,0.5,900,300,5,3,150,0.01,10
198_21,1677989.5907369237,5413437.789994807,91,0.076569809,0.5,900,300,5,3,90,0.01,10
198_22,1679938.8593249405,5413977.32,117.4999999,9.336671,0.5,900,300,5,3,150,0.01,11
198_23,1677989.5907369237,5413437.789994807,117.5,1.041842,0.5,900,300,5,3,90,0.01,11
198_24,1679938.8593249405,5413977.32,150.4999998,0.8485842,0.5,900,300,5,3,150,0.01,12
198_25,1677989.5907369237,5413437.789994807,150.5,9.494494,0.5,900,300,5,3,90,0.01,12
198_26,1679938.8593249405,5413977.32,183.4999998,0.1325363,0.5,900,300,5,3,150,0.01,13
198_27,1677989.5907369237,5413437.789994807,183.5,1.547372,0.5,900,300,5,3,90,0.01,13
123_0,1679938.8593249405,5413977.32,0.5,0.1394621,0.1,900,300,5,3,150,0.01,1
123_1,1679938.8593249405,5413977.32,2,0.3970922,0.1,900,300,5,3,150,0.01,2
123_2,1679938.8593249405,5413977.32,5,0.15481630000000002,0.1,900,300,5,3,150,0.01,3
123_3,1679938.8593249405,5413977.32,10,0.1249402,0.1,900,300,5,3,150,0.01,4
291_0,1664387.0655654557,5405098.118437827,0.5,132.65789999999998,0.5,3000,300,5,9.999999999,97,1,1
291_1,1667988.484682526,5405780.184941099,0.5,49.693130000000004,0.5,3000,300,5,9.999999999,99,1,1
291_2,1670548.701097329,5405066.776,0.5,71.42779999999999,0.5,3000,300,5,9.999999999,60,1,1
291_3,1675647.725584583,5404803.973,0.5,741.7736,0.5,3000,300,5,9.999999999,108,1,1
291_4,1676762.513767805,5406714.8089472465,0.5,21.42504,0.5,3000,300,5,9.999999999,86,1,1
291_5,1677129.3782259177,5405504.534446256,0.5,542.0377,0.5,3000,300,5,9.999999999,103,1,1
291_6,1664387.0655654557,5405098.118437827,2,39.34896,0.5,3000,300,5,9.999999999,97,1,2
291_7,1667988.484682526,5405780.184941099,2,41.619640000000004,0.5,3000,300,5,9.999999999,99,1,2
291_8,1670548.701097329,5405066.776,2,60.08272,0.5,3000,300,5,9.999999999,60,1,2
291_9,1675647.725584583,5404803.973,2,160.3503,0.5,3000,300,5,9.999999999,108,1,2
291_10,1676762.513767805,5406714.8089472465,2,195.75979999999998,0.5,3000,300,5,9.999999999,86,1,2
291_11,1677129.3782259177,5405504.534446256,2,49.34019,0.5,3000,300,5,9.999999999,103,1,2
291_12,1677129.3782259177,5405504.534446256,4.999999999999999,115.2405,0.5,3000,300,5,9.999999999,103,1,3
291_13,1664387.0655654557,5405098.118437827,5,248.0838,0.5,3000,300,5,9.999999999,97,1,3
291_14,1667988.484682526,5405780.184941099,5,29.01665,0.5,3000,300,5,9.999999999,99,1,3
291_15,1670548.701097329,5405066.776,5,12.48156,0.5,3000,300,5,9.999999999,60,1,3
291_16,1675647.725584583,5404803.973,5,90.02635,0.5,3000,300,5,9.999999999,108,1,3
291_17,1676762.513767805,5406714.8089472465,5,303.0019,0.5,3000,300,5,9.999999999,86,1,3
291_18,1664387.0655654557,5405098.118437827,10,324.2344,0.5,3000,300,5,9.999999999,97,1,4
291_19,1667988.484682526,5405780.184941099,10,394.1306,0.5,3000,300,5,9.999999999,99,1,4
291_20,1670548.701097329,5405066.776,10,26.074730000000002,0.5,3000,300,5,9.999999999,60,1,4
291_21,1675647.725584583,5404803.973,10,70.2195,0.5,3000,300,5,9.999999999,108,1,4
291_22,1676762.513767805,5406714.8089472465,10,263.9375,0.5,3000,300,5,9.999999999,86,1,4
291_23,1677129.3782259177,5405504.534446256,10,130.6904,0.5,3000,300,5,9.999999999,103,1,4
199_0,1673937.272888658,5403623.216709121,0.5,138.71020000000001,0.5,900,250,5,3.6,40,1,1
199_1,1678773.3043859857,5402950.719646568,0.5,55.86871,0.5,900,250,5,3.6,13,1,1
199_2,1680281.4905325829,5401861.768442976,0.5,33.947050000000004,0.5,900,250,5,3.6,55,1,1
199_3,1673937.272888658,5403623.216709121,2,111.0924,0.5,900,250,5,3.6,40,1,2
199_4,1678773.3043859857,5402950.719646568,2,15.23261,0.5,900,250,5,3.6,13,1,2
199_5,1680281.4905325829,5401861.768442976,2,36.05835,0.5,900,250,5,3.6,55,1,2
199_6,1673937.272888658,5403623.216709121,5,12.82957,0.5,900,250,5,3.6,40,1,3
199_7,1678773.3043859857,5402950.719646568,5,216.3967,0.5,900,250,5,3.6,13,1,3
199_8,1680281.4905325829,5401861.768442976,5,212.7835,0.5,900,250,5,3.6,55,1,3
199_9,1673937.272888658,5403623.216709121,10,42.13625,0.5,900,250,5,3.6,40,1,4
199_10,1678773.3043859857,5402950.719646568,10,72.89337,0.5,900,250,5,3.6,13,1,4
