name,x,y,z,mean_kh,sd_kh,major,anisotropy,bearing,layer,bearing_std,correlation_std,anisotropy_std,n_samples,data_coverage,radius_m
manual_143,1935218,5607391,-10,339.14,94.06,1300,10.04,52,1,43.6,141.42,5.04,5,1,300
manual_144,1935053,5606664,-10,175.65,133.81,1400,5.18,104.2,1,20.7,63.25,1.76,5,1,300
manual_145,1934953,5605837,-10,282.55,103.98,1300,7.2,41,1,54.3,167.33,2.54,5,1,300
manual_146,1935185,5604977,-10,256.9,106.68,1480,5.95,116,1,8,40,4.59,5,1,300
manual_147,1935615,5604250,-10,227.2,173.77,1360,4.22,68.7,1,34.3,120,0.96,5,1,300
manual_148,1935979,5603522,-10,245.65,292.29,700,6.4,74.4,1,27.2,167.33,2.33,5,1,300
manual_149,1936309,5602860,-10,103.94,92.89,680,6.8,80,1,38.9,193.91,1.94,5,1,300
manual_150,1936640,5598925,-10,0.0001,0.1,860,3.5,12,1,9.8,135.65,1.1,5,1,300
manual_151,1937004,5600512,-10,0.0001,0.1,380,3.4,48.4,1,22.4,172.05,1.85,5,1,300
manual_152,1936607,5602232,-10,60.53,88.62,660,4.9,86.7,1,31.3,185.47,0.8,5,1,300
manual_153,1932804,5609971,-10,657.53,171.05,1080,3.93,32,1,4,285.66,1.92,5,1,300
manual_154,1932010,5610500,-10,953.53,81.87,1400,3.08,138.8,1,52.3,0.1,0.81,5,1,300
manual_155,1931348,5611029,-10,1264.71,185.74,1460,8.2,98.2,1,79.1,48.99,3.04,5,1,300
manual_156,1930621,5611625,-10,1294.18,78.89,1420,7.7,75.1,1,43.1,74.83,3.86,5,1,300
manual_157,1936938,5614171,-10,141.27,71.74,960,3.2,163.4,1,57.5,48.99,0.16,5,1,300
manual_158,1936210,5614072,-10,444.06,81.44,1460,5.87,74.8,1,22.4,48.99,1.34,5,1,300
manual_159,1935449,5614039,-10,393.27,138.33,1400,12.13,77.3,1,59.5,109.54,3.89,5,1,300
manual_160,1934457,5613741,-10,443.16,98.03,1220,12.2,104.9,1,38.9,365.51,3.66,5,1,300
manual_161,1933531,5613510,-10,389.35,87.23,1260,12.6,74,1,4.9,149.67,1.5,5,1,300
manual_162,1932771,5613378,-10,644.29,98.78,1380,3.79,20,1,6.3,146.97,0.93,5,1,300
manual_163,1931944,5613080,-10,983.84,135.5,1340,2.35,8,1,7.5,48.99,0.33,5,1,300
manual_164,1931150,5612848,-10,1327.06,127.38,1280,4.08,129.3,1,87.5,183.3,0.85,5,1,300
manual_165,1930455,5612518,-10,1103.45,299.61,1140,6.03,50.5,1,82.8,471.59,3.85,5,1,300
manual_166,1929728,5611989,-10,1479.86,145.14,1420,3.77,156.4,1,18.5,74.83,1.02,5,1,300
manual_167,1928901,5611856,-10,1621.9,218.71,1340,8.63,55.7,1,32.5,224.5,3.47,5,1,300
manual_168,1928273,5611757,-10,2068.37,252.01,1300,7.2,9.8,1,15.5,209.76,4.13,5,1,300
manual_169,1927578,5611691,-10,2184.2,90.54,1480,3.73,30,1,9,40,0.9,5,1,300
manual_170,1926983,5612088,-10,487.65,623.34,520,5.2,52.3,1,44.1,231.52,2.32,5,1,300
manual_171,1926354,5612187,-10,224,90.33,1120,8,42.8,1,43.5,132.66,3.41,5,1,300
manual_172,1925759,5611724,-10,481.16,229.43,820,6,52.3,1,32.1,556.42,4.97,5,1,300
manual_173,1925131,5611559,-10,388.16,125.39,1500,3.95,63.4,1,30,0.1,0.9,5,1,300
manual_174,1924403,5611459,-10,279.55,49.85,700,6.8,48.8,1,50.1,576.19,5.95,5,1,300
manual_175,1923609,5611426,-10,449.37,161.33,1400,3.37,104.7,1,32.2,154.92,0.94,5,1,300
manual_176,1923609,5612253,-10,773.35,322.74,680,2.75,37.9,1,30.5,193.91,0.78,5,1,300
manual_177,1923841,5612948,-10,229.18,144.84,880,3.83,24,1,46.9,116.62,0.99,5,1,300
manual_178,1923775,5613576,-10,219.77,189.09,1060,5.93,106.8,1,62.8,427.08,1.32,5,0.966,300
manual_179,1923444,5614039,-10,285.73,236.8,940,5.43,144,1,8,149.67,2.81,5,1,300
manual_180,1923047,5614469,-10,310.82,233.38,860,6.3,119.9,1,51,392.94,4.14,5,0.897,300
manual_181,1923212,5615230,-10,792.96,373.51,840,6.1,37.5,1,67.4,287.05,1.36,5,1,300
manual_182,1923609,5615957,-10,453.45,334.92,680,5,42.6,1,27.5,222.71,0.84,5,1,300
manual_183,1923775,5616718,-10,698.37,222.1,960,5.07,28,1,7.5,344.09,3,5,1,300
manual_184,1924072,5617479,-10,718.92,198.88,1240,5.77,30.1,1,11,80,0.81,5,1,300
manual_185,1924370,5618272,-10,552.98,250.09,1000,7.3,45.9,1,90,352.14,1.94,5,1,300
manual_186,1924337,5618901,-10,493.08,192.15,1400,9.8,18,1,7.5,63.25,3.49,5,1,300
manual_187,1924635,5619595,-10,444.14,261.08,880,7.4,37.8,1,51.4,444.52,3.61,5,1,300
manual_188,1924205,5620224,-10,334.45,151.7,1320,5.37,132,1,7.5,116.62,1.55,5,1,300
manual_189,1923444,5620555,-10,693.79,271.09,920,4.97,103.9,1,15,337.05,3.14,5,1,300
manual_190,1922849,5620753,-10,732.76,206.23,1040,5.6,110,1,14.2,101.98,2.08,5,1,300
manual_191,1921889,5620753,-10,310.31,179.97,940,6.5,89,1,28.5,265.33,2.93,5,1,300
manual_192,1920897,5620687,-10,682.18,200.96,940,2.98,88,1,7.5,48.99,0.4,5,1,300
manual_193,1919938,5621580,-10,466.41,253.13,960,7.1,129,1,24.8,382.62,2.76,5,1,300
manual_194,1919376,5622142,-10,369.08,217.84,1100,5.07,128,1,11.7,209.76,0.99,5,1,300
manual_195,1918714,5622407,-10,518.2,425.52,1080,6.17,106,1,46.9,440,2.19,5,0.966,300
manual_196,1915923,5605043,-10,7.2,4.59,1160,2.67,62.1,1,58.5,101.98,0.39,5,1,300
manual_197,1914944,5605149,-10,178.9,83.25,760,2.77,34.7,1,40.6,48.99,0.39,5,1,300
manual_198,1922141,5602450,-10,4.41,2.72,1140,3.21,50.5,1,29.5,48.99,0.84,5,1,300
manual_199,1921374,5601921,-10,87.65,74.74,660,5,73.5,1,51.7,265.33,2.28,5,1,300
manual_200,1920474,5601630,-10,102.71,71.89,1140,4,112,1,9.8,101.98,0.97,5,1,300
manual_201,1919574,5601418,-10,0.63,1.49,980,7.6,80.8,1,46.5,146.97,2.03,5,1,300
manual_202,1926586,5605096,-10,1061.61,221.52,1400,14,36.4,1,19.6,109.54,1.1,5,1,300
manual_203,1926559,5603800,-10,957.65,106.69,1460,3.76,35.2,1,34.4,48.99,1.62,5,1,300
manual_204,1926480,5602662,-10,618.69,114.95,1480,4.7,53.5,1,33.9,40,1.69,5,1,300
manual_205,1926586,5601842,-10,194.94,105.8,1280,4.37,75.7,1,41.9,74.83,1.78,5,1,300
manual_206,1926903,5600281,-10,25.06,19.55,1400,7.27,30,1,12.7,200,4.33,5,1,300
manual_207,1927115,5599434,-10,2.35,5,1180,10.5,109.3,1,44.8,172.05,2.57,5,1,300
manual_208,1927618,5598508,-10,5.88,16.21,1240,8.9,97.9,1,58.5,377.36,3.88,5,1,300
manual_209,1923358,5603191,-10,307.33,115.58,1340,4.82,119.8,1,15.5,185.47,1.44,5,0.966,300
manual_210,1923437,5602345,-10,354.94,129.64,1240,11.3,91.5,1,48.5,215.41,3.54,5,1,300
manual_211,1923252,5601260,-10,282.29,169.18,1400,5.6,86.6,1,30,89.44,1.2,5,1,300
manual_212,1923358,5600387,-10,92.08,46.57,1120,3.9,64.8,1,43,193.91,0.95,5,1,300
manual_213,1923252,5599540,-10,44.8,23.65,920,3.07,118.2,1,16,116.62,0.39,5,1,300
manual_214,1923040,5598640,-10,0.0001,0.1,1260,3.62,120.7,1,44.9,80,1.22,5,1,300
manual_215,1926586,5606260,-10,1729.31,320.25,1040,5.47,41.2,1,56.5,185.47,2.27,5,1,300
manual_216,1925580,5605520,-10,677.22,171.73,1440,7.8,43.1,1,51.9,80,3.84,5,1,300
manual_217,1925316,5604620,-10,583.88,87.09,1420,3.52,33.1,1,68.3,74.83,0.82,5,1,300
